Title,Details,Area
Need flat,4 Bed2 BathCorridorLiftGenerator,"Bashundhara R/A, Dhaka"
২ বেডের ১০০০ বর্গফুট বিশিষ্ট ফ্লাট ভাড়া।,2 Bed2 BathCorridor,"Mohammadpur, Dhaka"
Flat rent at ECB Chattar (Near to Dhaka Cantonment),3 Bed3 Bath,"ECB Chattar, Dhaka"
Flat ভাড়া হবে উত্তরখানে ( Gas + Lift+ Security),4 Bed3 BathCorridorLift,"Uttar Khan, Dhaka"
Small Flat for Rent in Lalmatia,2 Bed1 BathCorridor,"Lalmatia, Dhaka"
FULL FURNISHED APARTMENT FOR RENT IN UTTARA,2 Bed2 BathCorridorLiftFurnitureGenerator,"Uttara Sector 10, Dhaka"
একদম নতুন এপারটমেট ভাড়া হবে,3 Bed4 BathCorridorLiftGenerator,"Badda, Dhaka"
house for rent,1 Bed1 Bath,"Badda, Dhaka"
Room for rent,1 Bed1 Bath,"Badda, Dhaka"
Flat for rent at west Dhanmondi,3 Bed2 BathLiftGenerator,"Dhanmondi, Dhaka"
TO-LET FOR BACHELORS AND SMALL FAMILY ,1 Bed1 BathCorridor,"Shewrapara, Dhaka"
"Blue Roses, Baitul Aman Housing Society, 3rd Floor",3 Bed3 BathCorridorLiftGenerator,"Adabor, Dhaka"
"Rent for New Apartment @ Basila Garden City, Mohammadpur",3 Bed3 BathCorridorLiftGenerator,"Mohammadpur, Dhaka"
Tolet for south east facing Flat in Tazlane Middle paikpara Mirpur-1 ,3 Bed3 BathCorridorLiftGenerator,"Kollyanpur, Dhaka"
